State,Minimum Wage
Washington,15.74
California,15.5
Massachusetts,15
New York,14.2
New Jersey,14.13
Connecticut,14
Arizona,13.85
Maine,13.8
Colorado,13.65
Oregon,13.5
Maryland,13.25
Vermont,13.18
Rhode Island,13
Illinois,13
Missouri,12
Virginia,12
New Mexico,12
Hawaii,12
Delaware,11.75
Florida,11
Arkansas,11
Alaska,10.85
South Dakota,10.8
Minnesota,10.59
Nevada,10.5
Nebraska,10.5
Ohio,10.1
Michigan,10.1
Montana,9.95
West Virginia,8.75
Oklahoma,7.25
Utah,7.25
New Hampshire,7.25
Kansas,7.25
Iowa,7.25
Pennsylvania,7.25
Indiana,7.25
Idaho,7.25
North Dakota,7.25
Wisconsin,7.25
Kentucky,7.25
Texas,7.25
North Carolina,7.25
Georgia,5.15
Wyoming,5.15
